18-10-2015 13:00:26 infiSTAR.de | Optima(76561198052079567) | Spawning MAAWS HEAT rocket (CUP_MAAWS_HEAT_M) on Optima! (v0015D)
18-10-2015 13:00:53 infiSTAR.de | Optima(76561198052079567) | Exploding Ford(76561198068372718) @080817 (v0015D)
18-10-2015 13:00:53 infiSTAR.de | Optima(76561198052079567) | Explode - R Admin:2 (Ford) REMOTE(76561198068372718) (v0015D)
18-10-2015 13:01:21 infiSTAR.de | Cannon(76561198027365826) | Teleport In Facing Direction (10m steps) - 1 (v0015D)
18-10-2015 13:01:33 infiSTAR.de | Cannon(76561198027365826) | Deleting rhs_bmp1k_vdv @080817.. (v0015D)
18-10-2015 13:01:53 infiSTAR.de | Optima(76561198052079567) | spawning SDV (CSAT) (Exile_Boat_SDV_CSAT) (v0015D)
18-10-2015 13:02:52 infiSTAR.de | Optima(76561198052079567) | Deleting Exile_Boat_SDV_CSAT @080817.. (v0015D)
18-10-2015 13:02:58 infiSTAR.de | Optima(76561198052079567) | Teleport to [8179.82,4272.31,0](GPS: 081817) (v0015D)
18-10-2015 13:03:19 infiSTAR.de | Optima(76561198052079567) | spawning SDV (B_SDV_01_F) (v0015D)
18-10-2015 13:03:32 infiSTAR.de | Optima(76561198052079567) | Deleting B_SDV_01_F @081817.. (v0015D)
18-10-2015 13:04:16 infiSTAR.de | Optima(76561198052079567) | Deleting GroundWeaponHolder @081817.. (v0015D)
18-10-2015 13:04:26 infiSTAR.de | Optima(76561198052079567) | Spawning FGM-148 Javelin (CUP_launch_Javelin) on the ground infront of Optima! (v0015D)
18-10-2015 13:04:26 infiSTAR.de | Optima(76561198052079567) | spawning FGM-148 Javelin (CUP_launch_Javelin) (v0015D)
18-10-2015 13:04:43 infiSTAR.de | Optima(76561198052079567) | Teleport to [7876.75,4228.83,0](GPS: 078817) (v0015D)
18-10-2015 13:05:03 infiSTAR.de | Optima(76561198052079567) | spawning BMP-2 (rhs_bmp2_vdv) (v0015D)
18-10-2015 13:05:09 infiSTAR.de | Optima(76561198052079567) | Teleport to [8285.73,4260.67,0](GPS: 082817) (v0015D)
18-10-2015 13:05:11 infiSTAR.de | Optima(76561198052079567) | Teleport to [8234.25,4279.65,0](GPS: 082817) (v0015D)
18-10-2015 13:06:13 infiSTAR.de | Optima(76561198052079567) | Deleting GroundWeaponHolder @081817.. (v0015D)
18-10-2015 13:06:23 infiSTAR.de | Ford(76561198068372718) | Deleting rhs_bmp2_vdv @078817.. (v0015D)
18-10-2015 13:07:07 infiSTAR.de | Optima(76561198052079567) | Teleport to [8193.87,4278.16,0](GPS: 081817) (v0015D)
18-10-2015 13:08:17 infiSTAR.de | Ford(76561198068372718) | Stealth / Invisible - 0 (v0015D)
