27-01-2016 14:04:40 infiSTAR.de | 0h 49min 58s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.7216|SERVERTHREADS: 37] (v0029)
27-01-2016 14:04:43 infiSTAR.de | 0h 50min 2s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 12.2137|SERVERTHREADS: 37] (v0029)
27-01-2016 14:04:50 infiSTAR.de | 0h 50min 8s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 12.5|SERVERTHREADS: 37] (v0029)
27-01-2016 14:04:55 infiSTAR.de | 0h 50min 13s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 12.4611|SERVERTHREADS: 37] (v0029)
27-01-2016 14:05:03 infiSTAR.de | 0h 50min 21s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @179299 [17996.4,19700.4,1.31567] [FPS: 11.8871|SERVERTHREADS: 37] (v0029)
27-01-2016 14:05:48 infiSTAR.de | 0h 51min 6s | Raphael(76561198128042600) | WALL GLITCH CHECK (GetOut vehicle) - @180299 [18010.9,19689.4,1.11847] [FPS: 11.5108|SERVERTHREADS: 37] (v0029)
27-01-2016 14:05:55 infiSTAR.de | 0h 51min 12s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18012.5,19693,-0.140015] [FPS: 11.6788|SERVERTHREADS: 37] (v0029)
27-01-2016 14:06:05 infiSTAR.de | 0h 51min 22s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18008.7,19691.6,-0.779739] [FPS: 10.263|SERVERTHREADS: 37] (v0029)
27-01-2016 14:06:15 infiSTAR.de | 0h 51min 32s | Raphael(76561198128042600) | WALL GLITCH CHECK (GetOut vehicle) - @180299 [18011,19689.6,1.41268] [FPS: 11.8959|SERVERTHREADS: 37] (v0029)
27-01-2016 14:06:20 infiSTAR.de | 0h 51min 37s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18015,19698.4,0.936104] [FPS: 11.6874|SERVERTHREADS: 37] (v0029)
27-01-2016 14:06:23 infiSTAR.de | 0h 51min 40s | SSF Frank(76561198091891913) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @180299 [18015,19698.4,0.936104] [FPS: 11.3879|SERVERTHREADS: 37] (v0029)
27-01-2016 14:06:51 infiSTAR.de | 0h 52min 5s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18015,19698.4,0.936104] [FPS: 11.9048|SERVERTHREADS: 37] (v0029)
27-01-2016 14:07:01 infiSTAR.de | 0h 52min 16s | SSF Frank(76561198091891913) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @180299 [18002.7,19707.2,2.22352] [FPS: 11.0041|SERVERTHREADS: 37] (v0029)
27-01-2016 14:07:01 infiSTAR.de | 0h 52min 16s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18002.7,19707.2,2.22352] [FPS: 10.9589|SERVERTHREADS: 37] (v0029)
27-01-2016 14:07:08 infiSTAR.de | 0h 52min 22s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 11.6533|SERVERTHREADS: 38] (v0029)
27-01-2016 14:07:16 infiSTAR.de | 0h 52min 30s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18002.7,19707.2,2.22352] [FPS: 11.0269|SERVERTHREADS: 37] (v0029)
27-01-2016 14:07:22 infiSTAR.de | 0h 52min 37s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 10.2367|SERVERTHREADS: 37] (v0029)
27-01-2016 14:07:34 infiSTAR.de | 0h 52min 48s | bambam(76561198112160451) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 10.9739|SERVERTHREADS: 38] (v0029)
27-01-2016 14:07:50 infiSTAR.de | 0h 53min 4s | SSF Frank(76561198091891913) | WALL GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodWall_Static) - @180299 [18002.7,19707.2,2.22352] [FPS: 10.877|SERVERTHREADS: 38] (v0029)
27-01-2016 14:07:56 infiSTAR.de | 0h 53min 9s | SSF Frank(76561198091891913) | WALL LOOK CHECK (looked through Exile_Construction_WoodGate_Static) - @179299 [17997.8,19696.6,0.285904] [FPS: 11.6533|SERVERTHREADS: 38] (v0029)
27-01-2016 14:12:06 infiSTAR.de | 0h 57min 8s | SavoyBoy(76561198063614452) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @157252 [15725.6,15052.7,2.38239] [FPS: 10|SERVERTHREADS: 37] (v0029)
27-01-2016 15:29:42 infiSTAR.de | 1h 53min 23s | Keegan Bourne(76561198069578078) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @014151 [1483,4947,-0.25] [FPS: 5.87371|SERVERTHREADS: 37] (v0029)
27-01-2016 15:30:28 infiSTAR.de | 1h 53min 50s | Carlos (76561198176543518) | WALL LOOK CHECK (looked through Exile_Construction_WoodWall_Static) - @014151 [1483,4953,0.0176115] [FPS: 6.27697|SERVERTHREADS: 38] (v0029)
27-01-2016 15:49:26 infiSTAR.de | 2h 5min 14s | CheesyPotatoes(76561197992843224) | FLOOR GLITCH ATTEMPT (attempted breach of Exile_Construction_WoodFloor_Static) - @070232 [7003.63,13019.7,3.15839] [FPS: 6.09524|SERVERTHREADS: 36] (v0029)
