25-01-2016 20:02:57 infiSTAR.de | 1h 28min 39s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 113m in 0.261719s (from [6023.06,12585.1,160.205] to [6104.79,12507,179.252]). TopSpeed of Steerable_Parachute_F is 300 speed was 1555.31. Player FPS: 29.9625. Alive for 5066.43s -  [FPS: 9.47306|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:58 infiSTAR.de | 1h 28min 40s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 113m in 0.260742s (from [6036.15,12572.3,166.335] to [6119.06,12495.4,180.637]). TopSpeed of Steerable_Parachute_F is 300 speed was 1561.52. Player FPS: 29.9065. Alive for 5066.73s -  [FPS: 9.52381|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:58 infiSTAR.de | 1h 28min 40s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 105m in 0.245117s (from [6050.07,12559.1,172.463] to [6128.05,12488.3,181.055]). TopSpeed of Steerable_Parachute_F is 300 speed was 1546.49. Player FPS: 30.8285. Alive for 5067.02s -  [FPS: 9.52948|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:58 infiSTAR.de | 1h 28min 40s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 116m in 0.270508s (from [6062.65,12547.1,175.507] to [6147.69,12468,168.134]). TopSpeed of Steerable_Parachute_F is 300 speed was 1545.23. Player FPS: 30.6513. Alive for 5067.33s -  [FPS: 9.47867|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:59 infiSTAR.de | 1h 28min 40s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 113m in 0.265625s (from [6075.56,12534.4,175.852] to [6157.81,12456.4,160.602]). TopSpeed of Steerable_Parachute_F is 300 speed was 1536.18. Player FPS: 29.3578. Alive for 5067.64s -  [FPS: 9.55224|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:59 infiSTAR.de | 1h 28min 41s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 106m in 0.251953s (from [6087.84,12522.3,175.809] to [6164.79,12450,158.842]). TopSpeed of Steerable_Parachute_F is 300 speed was 1508.75. Player FPS: 30.303. Alive for 5067.93s -  [FPS: 10.1976|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:59 infiSTAR.de | 1h 28min 41s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 106m in 0.249023s (from [6099.55,12510.9,176.105] to [6176.8,12438.9,154.508]). TopSpeed of Steerable_Parachute_F is 300 speed was 1526.8. Player FPS: 31.3725. Alive for 5068.22s -  [FPS: 10.0819|SERVERTHREADS: 36] (v0029)
25-01-2016 20:02:59 infiSTAR.de | 1h 28min 41s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 112m in 0.260742s (from [6109.42,12501.3,176.063] to [6191.29,12425.4,150.61]). TopSpeed of Steerable_Parachute_F is 300 speed was 1541.2. Player FPS: 31.1284. Alive for 5068.52s -  [FPS: 10|SERVERTHREADS: 36] (v0029)
25-01-2016 20:03:00 infiSTAR.de | 1h 28min 42s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 113m in 0.262695s (from [6143.26,12469.5,167.067] to [6225.98,12393.3,143.343]). TopSpeed of Steerable_Parachute_F is 300 speed was 1541.75. Player FPS: 27.9232. Alive for 5068.89s -  [FPS: 10.0251|SERVERTHREADS: 36] (v0029)
25-01-2016 20:03:00 infiSTAR.de | 1h 28min 42s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 107m in 0.25s (from [6155.06,12458.2,161.892] to [6230.01,12382.4,144.064]). TopSpeed of Steerable_Parachute_F is 300 speed was 1534.95. Player FPS: 30.7102. Alive for 5069.18s -  [FPS: 10.0566|SERVERTHREADS: 36] (v0029)
25-01-2016 20:03:00 infiSTAR.de | 1h 28min 42s | Mike(76561198158162766) | POTENTIAL-TP-REVERTED#1: Moved 108m in 0.251953s (from [6165.42,12446.2,158.897] to [6236.55,12364.8,146.097]). TopSpeed of Steerable_Parachute_F is 300 speed was 1544.67. Player FPS: 31.746. Alive for 5069.47s -  [FPS: 10.0819|SERVERTHREADS: 36] (v0029)
