28-01-2016 16:52:44 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.48298|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:45 infiSTAR.de | 2h 13min 51s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.48298|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:45 infiSTAR.de | 2h 13min 52s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.52263|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:45 infiSTAR.de | 2h 13min 52s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.52263|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:45 infiSTAR.de | 2h 13min 52s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.54397|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:45 infiSTAR.de | 2h 13min 52s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.54397|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:45 infiSTAR.de | 2h 13min 52s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.53595|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:45 infiSTAR.de | 2h 13min 52s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.53595|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:46 infiSTAR.de | 2h 13min 52s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.57354|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:46 infiSTAR.de | 2h 13min 52s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.57354|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:46 infiSTAR.de | 2h 13min 52s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.60338|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:46 infiSTAR.de | 2h 13min 52s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.60338|SERVERTHREADS: 37] (v0029)
28-01-2016 16:52:46 infiSTAR.de | 2h 13min 52s | Luke(76561198021780948) | WALL GLITCH CHECK (GetOut vehicle) - @166137 [16682.8,3484.91,2.22789] [FPS: 6.64176|SERVERTHREADS: 37] (v0029)
