24-01-2016 19:04:57 infiSTAR.de | Double A.(76561198069335401) | Teleport to [15747.7,7773.25,0](GPS: 157180) (v0029)
24-01-2016 19:06:00 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 1 (v0029)
24-01-2016 19:08:08 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Respect - OMEGA™ [GUER (R Fortune Hunters)](76561197974809837) (v0029)
24-01-2016 19:10:09 infiSTAR.de | Double A.(76561198069335401) | Stealth / Invisible - 0 (v0029)
24-01-2016 19:10:13 infiSTAR.de | Double A.(76561198069335401) | Teleport - Me To Target - Zheky [GUER (R Strike Force Rogue)](76561198042363732) (v0029)
24-01-2016 19:10:47 infiSTAR.de | Double A.(76561198069335401) | HealRepairNear (v0029)
24-01-2016 19:11:09 infiSTAR.de | Double A.(76561198069335401) | Deleting CUP_B_RHIB_USMC @015185.. (v0029)
24-01-2016 19:11:33 infiSTAR.de | Double A.(76561198069335401) | Add / Remove Money - Zheky [GUER (R Strike Force Rogue)](76561198042363732) (v0029)
24-01-2016 19:12:59 infiSTAR.de | Double A.(76561198069335401) | Teleport to [19647.6,12718.1,0](GPS: 196229) (v0029)
24-01-2016 19:13:21 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [20439.1,14017.4,0](GPS: 204242) (v0029)
24-01-2016 19:14:58 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [2378.08,7989.46,0](GPS: 023182) (v0029)
24-01-2016 19:15:20 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [2239.3,8037.79,0](GPS: 022182) (v0029)
24-01-2016 19:16:05 infiSTAR.de | Falcon911(76561197974470549) | God Mode - 0 (v0029)
24-01-2016 19:17:11 infiSTAR.de | Falcon911(76561197974470549) | Teleport to [1221.3,1142.82,0](GPS: 012113) (v0029)
24-01-2016 19:17:30 infiSTAR.de | Falcon911(76561197974470549) | God Mode - 1 (v0029)
